code,parent_code,name,region_type,center_lat,center_lng
11140144,11140,장충동2가,eup-myeon-dong,37.55525765702686,127.00031614133837
11140145,11140,광희동1가,eup-myeon-dong,37.565036537520086,127.0051652507949
11140146,11140,광희동2가,eup-myeon-dong,37.56394271030065,127.00832785732358
11140147,11140,쌍림동,eup-myeon-dong,37.56376690207472,127.00453215624165
11140148,11140,을지로6가,eup-myeon-dong,37.56750310161885,127.00706133176796
11140149,11140,을지로7가,eup-myeon-dong,37.5664135143606,127.00949897549316
11140150,11140,을지로4가,eup-myeon-dong,37.56639320840057,126.9976868885368
11140151,11140,을지로5가,eup-myeon-dong,37.566817583339294,127.00216407121155
11140152,11140,주교동,eup-myeon-dong,37.56827366711495,126.99892038014337
11140153,11140,방산동,eup-myeon-dong,37.56854789849902,127.00311224086843
11140154,11140,오장동,eup-myeon-dong,37.564442211495056,127.00103103232127
11140155,11140,을지로3가,eup-myeon-dong,37.56659656171776,126.99238189905597
11140156,11140,입정동,eup-myeon-dong,37.567724554580536,126.99274940259315
11140157,11140,산림동,eup-myeon-dong,37.56761043487692,126.99615048061823
11140158,11140,충무로3가,eup-myeon-dong,37.56224594412477,126.9919425537158
11140159,11140,초동,eup-myeon-dong,37.56459873124891,126.99232721242271
11140160,11140,인현동1가,eup-myeon-dong,37.56453450445068,126.9945345319837
11140161,11140,저동2가,eup-myeon-dong,37.5643069012176,126.9898803927305
11140162,11140,신당동,eup-myeon-dong,37.556813972214044,127.01541669291234
11140163,11140,흥인동,eup-myeon-dong,37.5676472924364,127.01599115551548
11140164,11140,무학동,eup-myeon-dong,37.564226650576714,127.01520461431882
11140165,11140,황학동,eup-myeon-dong,37.56858891515088,127.02045231124953
11140166,11140,서소문동,eup-myeon-dong,37.56291507179503,126.97394037653085
11140167,11140,정동,eup-myeon-dong,37.56614242624208,126.97328810436028
11140168,11140,순화동,eup-myeon-dong,37.56234442014339,126.97079166179572
11140169,11140,의주로1가,eup-myeon-dong,37.56370383222388,126.9684745359427
11140170,11140,충정로1가,eup-myeon-dong,37.56687651487991,126.96807244622542
11140171,11140,중림동,eup-myeon-dong,37.55916239461197,126.96554555364244
11140172,11140,의주로2가,eup-myeon-dong,37.560663210341815,126.96949552645475
11140173,11140,만리동1가,eup-myeon-dong,37.55588711604199,126.96696820592261
11140174,11140,만리동2가,eup-myeon-dong,37.554252737929694,126.96430943175024
11170,11,용산구,si-gun-gu,37.5310971060111,126.98105776845263
11170101,11170,후암동,eup-myeon-dong,37.55038329204346,126.98048842453333
11170102,11170,용산동2가,eup-myeon-dong,37.54307288834501,126.98584689776149
11170103,11170,용산동4가,eup-myeon-dong,37.53058509369837,126.985865100779
11170104,11170,갈월동,eup-myeon-dong,37.544933750680656,126.97303982867362
11170105,11170,남영동,eup-myeon-dong,37.542848168131584,126.97337161734652
11170106,11170,용산동1가,eup-myeon-dong,37.540264120489326,126.976953061491
11170107,11170,동자동,eup-myeon-dong,37.55151799429284,126.97290069119734
11170108,11170,서계동,eup-myeon-dong,37.552603246338116,126.96650850659665
11170109,11170,청파동1가,eup-myeon-dong,37.548892259584534,126.9671549966076
11170110,11170,청파동2가,eup-myeon-dong,37.54623683045891,126.96666681260977
11170111,11170,청파동3가,eup-myeon-dong,37.543299667538804,126.96658542413553
11170112,11170,원효로1가,eup-myeon-dong,37.53990253441085,126.96753573840527
